Borough,Development Name,Consumption (KWH),Borough_avg_KWH_per_capita,Exceeds_Avg,Population,Expected_KWH,KWH_Saved
BRONX,ADAMS,6478476.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,3943634.7865168536
BRONX,ALBANY,122090.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,BARUCH,685600.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,BERRY,2681600.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,146758.7865168536
BRONX,BERRY STREET-SOUTH 9TH STREET,97418.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,BETANCES V,432600.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,BETANCES VI,410804.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,BETHUNE GARDENS,777984.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,BLAND,2770349.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,235507.7865168536
BRONX,BORINQUEN PLAZA I,6521075.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,3986233.7865168536
BRONX,BORINQUEN PLAZA II,484218.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,BOULEVARD,2115040.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,BREUKELEN,503400.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,BROWNSVILLE,4064160.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,1529318.7865168536
BRONX,BUSHWICK II - GROUPS B & D,22301.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CARVER,1208880.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CASSIDY-LAFAYETTE,1499252.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CASTLE HILL,3386957.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,852115.7865168536
BRONX,CLAREMONT REHAB (GROUP 5),209389.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CLASON POINT GARDENS,2282348.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CLINTON,5685009.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,3150167.7865168536
BRONX,COLLEGE AVENUE-EAST 165TH STREET,275681.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CONEY ISLAND,2394944.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CONEY ISLAND I (SITE 1B),1596924.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CONEY ISLAND I (SITE 4 & 5),3295492.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,760650.7865168536
BRONX,CONEY ISLAND I (SITE 8),1359600.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CONLON LIHFE TOWER,746566.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,COOPER PARK,4256052.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,1721210.7865168536
BRONX,CORSI HOUSES,653304.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CROWN HEIGHTS,282990.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,CYPRESS HILLS,1028627.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,DYCKMAN,632480.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,EASTCHESTER GARDENS,4400809.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,1865967.7865168536
BRONX,EDENWALD,6822238.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,4287396.786516854
BRONX,ELLIOTT,3448553.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,913711.7865168536
BRONX,FARRAGUT,8349819.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,5814977.786516854
BRONX,FENIMORE-LEFFERTS,45019.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,FHA REPOSSESSED HOUSES (GROUP III),258.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,FHA REPOSSESSED HOUSES (GROUP IX),16177.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,FHA REPOSSESSED HOUSES (GROUP V),8205.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,FHA REPOSSESSED HOUSES (GROUP VI),1477.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,FIORENTINO PLAZA,873814.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,FIRST HOUSES,173160.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,GLENWOOD,4048808.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,1513966.7865168536
BRONX,GOMPERS,3249938.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,715096.7865168536
BRONX,GOWANUS,2244160.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,GRANT,1387400.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,0.0
BRONX,HOWARD,3162942.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,628100.7865168536
BRONX,INGERSOLL,6681720.0,153.19339641219187,True,16546.674157303372,2534841.2134831464,4146878.7865168536
