Borough,Development Name,Consumption (KWH),Borough_avg_KWH_per_capita,Exceeds_Avg
BROOKLYN,BAYCHESTER,3293869.0,178.9351063341072,True
BROOKLYN,BEACH 41ST STREET-BEACH CHANNEL DRIVE,4681280.0,178.9351063341072,True
BROOKLYN,BEDFORD-STUYVESANT REHAB,117094.0,178.9351063341072,True
BROOKLYN,BELMONT-SUTTER AREA,152159.0,178.9351063341072,True
BROOKLYN,BERRY,761708.0,178.9351063341072,True
BROOKLYN,BETANCES I,95236.0,178.9351063341072,True
BROOKLYN,BETANCES II,1545205.0,178.9351063341072,True
BROOKLYN,BETANCES III,543040.0,178.9351063341072,True
BROOKLYN,BETANCES IV,1209797.0,178.9351063341072,True
BROOKLYN,BETANCES V,161510.0,178.9351063341072,True
BROOKLYN,BOULEVARD,4944020.0,178.9351063341072,True
BROOKLYN,BOYNTON AVENUE REHAB,141624.0,178.9351063341072,True
BROOKLYN,BRACETTI PLAZA,942643.0,178.9351063341072,True
BROOKLYN,BREUKELEN,9379299.0,178.9351063341072,True
BROOKLYN,BREVOORT,6170853.0,178.9351063341072,True
BROOKLYN,BRONX RIVER,8528129.0,178.9351063341072,True
BROOKLYN,BRONX RIVER ADDITION,637767.0,178.9351063341072,True
BROOKLYN,BRONXCHESTER,367912.0,178.9351063341072,True
BROOKLYN,BROWN,445017.0,178.9351063341072,True
BROOKLYN,BROWNSVILLE,4185174.0,178.9351063341072,True
BROOKLYN,BRYANT AVENUE-EAST 174TH STREET,513560.0,178.9351063341072,True
BROOKLYN,BUSHWICK,8605472.0,178.9351063341072,True
BROOKLYN,BUSHWICK II (GROUPS A & C),522374.0,178.9351063341072,True
BROOKLYN,BUSHWICK II - GROUPS B & D,638612.0,178.9351063341072,True
BROOKLYN,BUSHWICK II CDA (GROUP E),362981.0,178.9351063341072,True
BROOKLYN,BUTLER,11069618.0,178.9351063341072,True
BROOKLYN,CAMPOS PLAZA I,388313.0,178.9351063341072,True
BROOKLYN,CAMPOS PLAZA II,601634.0,178.9351063341072,True
BROOKLYN,CAREY GARDENS,5178867.0,178.9351063341072,True
BROOKLYN,CARLETON MANOR,993000.0,178.9351063341072,True
BROOKLYN,CARVER,6869683.0,178.9351063341072,True
BROOKLYN,CASTLE HILL,3490313.0,178.9351063341072,True
BROOKLYN,CYPRESS HILLS,5915360.0,178.9351063341072,True
BROOKLYN,DAVIDSON,1429811.0,178.9351063341072,True
BROOKLYN,DE HOSTOS APARTMENTS,1477673.0,178.9351063341072,True
BROOKLYN,DOUGLASS ADDITION,1109767.0,178.9351063341072,True
BROOKLYN,DOUGLASS I,7747440.0,178.9351063341072,True
BROOKLYN,DOUGLASS II,4789401.0,178.9351063341072,True
BROOKLYN,DREW-HAMILTON,7798700.0,178.9351063341072,True
BROOKLYN,DYCKMAN,4508973.0,178.9351063341072,True
BROOKLYN,EDENWALD,997097.0,178.9351063341072,True
BROOKLYN,FOREST,7691932.0,178.9351063341072,True
BROOKLYN,FORT INDEPENDENCE STREET-HEATH AVENUE,2646248.0,178.9351063341072,True
BROOKLYN,FORT WASHINGTON AVENUE REHAB,961437.0,178.9351063341072,True
BROOKLYN,FRANKLIN AVENUE I CONVENTIONAL,55940.0,178.9351063341072,True
BROOKLYN,FRANKLIN AVENUE II CONVENTIONAL,39702.0,178.9351063341072,True
BROOKLYN,FRANKLIN AVENUE III CONVENTIONAL,12406.0,178.9351063341072,True
BROOKLYN,FULTON,2491580.0,178.9351063341072,True
BROOKLYN,GLENMORE PLAZA,1392979.0,178.9351063341072,True
BROOKLYN,GLENWOOD,1116370.0,178.9351063341072,True
BROOKLYN,GRANT,7305708.0,178.9351063341072,True
BROOKLYN,GRAVESEND,3814968.0,178.9351063341072,True
BROOKLYN,GUN HILL,3515712.0,178.9351063341072,True
BROOKLYN,HABER,817675.0,178.9351063341072,True
BROOKLYN,HAMMEL,5831040.0,178.9351063341072,True
BROOKLYN,HARBORVIEW TERRACE,2289813.0,178.9351063341072,True
BROOKLYN,HARLEM RIVER,1179040.0,178.9351063341072,True
BROOKLYN,HARRISON AVENUE REHAB (GROUP B),69100.0,178.9351063341072,True
BROOKLYN,HERNANDEZ,911553.0,178.9351063341072,True
BROOKLYN,HIGHBRIDGE GARDENS,4599755.0,178.9351063341072,True
BROOKLYN,HIGHBRIDGE REHABS (ANDERSON AVENUE),151241.0,178.9351063341072,True
